"Nom","Adresse 1","Adresse 2","Code postal","Ville","TÈlÈphone 1","TÈlÈphone 2","Fax","NAF","SIRET","Effectif","Responsable","ActivitÈ"
"GALERIE LAURENT GODIN","","36 Bis RUE EUGENE OUDINE","75013","PARIS","0142711077","","","4779Z","48337149800021","3 ‡ 5","GODIN LAURENT","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE LAURENT STROUK","","2 AVENUE MATIGNON","75008","PARIS","0140468906","","0140468904","4779Z","50342872400028","3 ‡ 5","Strouk LAURENT","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE LELONG & CO","","13 RUE TEHERAN","75008","PARIS","0145631319","","0142893433","4779Z","32123845300013","20 ‡ 49","GALERIE LELONG SA","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE LOEVENBRUCK","","6 RUE JACQUES CALLOT","75006","PARIS","0182283821","","0153108972","4779Z","40080272400056","3 ‡ 5","LOEVENBRUCK HERVE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE MAURICE GARNIER","","6 AVENUE MATIGNON","75008","PARIS","0142256165","","","4779Z","56210620300010","6 ‡ 9","MAURICE GARNIER ET COMPAGNIE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE MERMOZ","","3 RUE CIRQUE","75008","PARIS","0153839453","","0153839452","4779Z","32409547000047","3 ‡ 5","Micali GREGORIO","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE MITTERRAND","","79 RUE TEMPLE","75003","PARIS","0143261205","","0146334483","4779Z","34453154600036","6 ‡ 9","MAP Monumental Art Projects AG - CHE-115.231.796","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE NELSON","","59 RUE QUINCAMPOIX","75004","PARIS","0142717456","","","4779Z","43455853200033","3 ‡ 5","FREEMAN PETER","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE OBADIA NATHALIE","","3 RUE CLOITRE ST MERRI","75004","PARIS","0142746768","","0142746866","4779Z","38931179600038","10 ‡ 19","OBADIA NATHALIE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE PATRICK SEGUIN","","5 RUE TAILLANDIERS","75011","PARIS","0147003235","","","4779Z","35075030300025","20 ‡ 49","BERGEROT LAURENCE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE SAPHIR","","69 RUE TEMPLE","75003","PARIS","0142726119","","","4779Z","31641890400066","3 ‡ 5","Hirsch FRANCINE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE VALLOIS SOC","","33 RUE SEINE","75006","PARIS","0143251734","","","4779Z","55208911200023","10 ‡ 19","GRUNFELD FRANCINE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE YVES GASTOU","","12 RUE BONAPARTE","75006","PARIS","0153730010","","0153730012","4779Z","35204781500019","3 ‡ 5","Gastou VICTOR","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE ZLOTOWSKI","","20 RUE SEINE","75006","PARIS","0143269394","","","4779Z","42016622500011","3 ‡ 5","Zlotowski MICHEL","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"IMANE FARES","","41 RUE MAZARINE","75006","PARIS","0146331313","","","4779Z","50824703800021","3 ‡ 5","FARES IMANE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LA CASE D'ART","","4 RUE BEAUX ARTS","75006","PARIS","0146331890","","","4779Z","63201264700012","3 ‡ 5","Roudillon JEAN-FRANCOIS","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"NATHALIE SEROUSSI","","34 RUE SEINE","75006","PARIS","0146340584","","","4779Z","32788582800019","6 ‡ 9","PRAGIER NADINE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"OPERA GALLERY","","62 RUE FAUBOURG ST HONORE","75008","PARIS","0142963900","","","4779Z","39793504000030","10 ‡ 19","CHELLY FLORENCE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"PIERRE MICHEL DUMONTEIL","GAUCHE","38 RUE UNIVERSITE","75007","PARIS","0142612338","","0142611461","4779Z","32492390300011","6 ‡ 9","DUMONTEIL PIERRE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"PRAZ DELAVALLADE","","5 RUE HAUDRIETTES","75003","PARIS","0145862000","","","4779Z","33977690800032","3 ‡ 5","DELAVALLADE BRUNO","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"STEINITZ","","6 RUE ROYALE","75008","PARIS","0156436670","","","4779Z","51103229400072","20 ‡ 49","STEINITZ BENJAMIN","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"SUZANNE TARASIEVE","","5 VILLA MARCEL LODS","75019","PARIS","0145860202","","","4779Z","44773286800040","3 ‡ 5","Veopraseut VEOVANSY","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"TALABARDON ET GAUTIER","","134 RUE FAUBOURG ST HONORE","75008","PARIS","0143591357","","0143591029","4779Z","41753994700024","6 ‡ 9","TALABARDON LOIK","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"THADDAEUS ROPAC","","7 RUE DEBELLEYME","75003","PARIS","0142729900","","0142726166","4779Z","37828861700020","20 ‡ 49","ROPAC THADDAEUS","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"VALLOIS ART DECO","","41 RUE SEINE","75006","PARIS","0143295055","","0143299073","4779Z","55208911200015","10 ‡ 19","GRUNFELD FRANCINE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"AIR DE PARIS","","43 RUE COMMUNE DE PARIS","93230","ROMAINVILLE","0187664406","","","4779Z","37757271400030","3 ‡ 5","BONNEFOUS FLORENCE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE LELONG","","98 BOULEVARD HELOISE","95100","ARGENTEUIL","0130769293","","0139613710","4779Z","32123845300047","20 ‡ 49","GALERIE LELONG SA","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"AC AUTOMOBILES","","10 CHEMIN PONSON","07200","AUBENAS","0475934162","","","4791B","74991630000025","6 ‡ 9","CHEVILLIAT PHILIPPE","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"MSL WEB","","3 RUE CHARLIE CHAPLIN","78390","BOIS D'ARCY","0139481415","","","4791B","53364102300056","6 ‡ 9","SAILLANT RAPHAEL","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"FAULOCAM","","LIEU DIT FONPRA","47120","ST SERNIN","0553888577","","","4791B","75168442400011","3 ‡ 5","FAUTRAS JEAN","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"MARIE FAURIE DURAND","ESC A1","1 RUE MAURICE BERTEAUX","78290","CROISSY SUR SEINE","0980748885","","","4791A","43445624000028","3 ‡ 5","TRIOUX ARNAUD","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"EASY CASH","","1 CHEMIN VOIE DES AGASSES","25220","CHALEZEULE","0381479962","","","4779Z","83953791700016","10 ‡ 19","VILLEMAIN DENIS","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"DAVID RETIERE","","1 LA BREHARAIS","44130","BLAIN","0240791472","","","4779Z","90798585700016","6 ‡ 9","CHASSAGNE ROMAIN","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"JNSN INTERNATIONAL","","3 RUE DANTE","06000","NICE","0982466635","","","4791A","80339802300017","3 ‡ 5","SAMANDZHIEV YULIYAN","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"HA GESTIONS","","90 GARRIGOTTES","30320","MARGUERITTES","0617856109","","","4779Z","84416326100028","3 ‡ 5","ABBASSI TAREK","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"AMIKINOS JMM SARL","","LA BARATERIE LA BARATERIE","37330","SOUVIGNE","0247242422","0247240272","","4791B","38253133300039","3 ‡ 5","MAUPILIER THOMAS","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"ELISEE","","33 RUE GRANDS PRES","58000","NEVERS","0967575685","","","4791B","79904596800028","10 ‡ 19","L OLIVERAIE","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"MARCO POLO DIRECT","","51 AVENUE ASP BUFFET","81600","GAILLAC","0563477477","","","4791B","38861444800032","3 ‡ 5","FRAUX GERARD","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"GOUTTE DE THE","","77 AVENUE LEDRU ROLLIN","75012","PARIS","0952036610","","","4791B","81460191000023","3 ‡ 5","Lin YAOYAO","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"L'USINE DU TSHIRT","","6 AVENUE VISTRENQUE","30132","CAISSARGUES","0950966586","","","4791B","84300795600017","3 ‡ 5","PEPE BERNARD","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"ETAPES PRINT","ZA DU BOSC","14 RUE VERGERS","34130","MUDAISON","0467425581","","","4791B","48156517400044","3 ‡ 5","MARLE FLORENT","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"CONSEIL INF LOGICIEL PACKAGE","","9 CHEMIN LOURMET","31180","CASTELMAUROU","0148896016","","","4791B","32264799100098","6 ‡ 9","ME2S Management","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"FITTINGBOX","","BAT ARIZONA A 644 L'OCCITANE","31670","LABEGE","0971007110","","","4791B","49145299100046","50 ‡ 99","FITTINGBOX","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LEVEL UP","","66 AVENUE CHAMPS ELYSEES","75008","PARIS","0781748124","","","4791B","83174682100022","3 ‡ 5","Herlin CYRIAQUE","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"PIXEL CRM","","25 Bis AVENUE PIERRE GRENIER","92100","BOULOGNE BILLANCOURT","0184142867","","","4791B","88780650300025","3 ‡ 5","DUFOUR AXEL","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"MAADAM SOLUTIONS","","22 RUE BEAU SITE","93160","NOISY LE GRAND","0672409024","","","4791A","81800744500021","6 ‡ 9","TOURE LASSANA","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"TONER SERVICES","","RUE VALLEE VERTE","13011","MARSEILLE","0321804525","","","4791B","40024421600059","20 ‡ 49","ROGUET ERWAN","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"CASH BACK 15","","32 RUE CARMES","15000","AURILLAC","0471435656","","","4779Z","81418138400011","3 ‡ 5","BLANC GERAUD","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CASH EXPRESS","","3 AVENUE 14 JUILLET","19100","BRIVE LA GAILLARDE","0555173388","","","4779Z","48244541800015","3 ‡ 5","PRINCE STEPHANE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"E CARTOUCHES","","8 CHERLECUNLONG","23150","LEPINAS","0555622911","","","4791B","81011453800038","6 ‡ 9","DUVAUCHELLE DOMINIQUE","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"IPC","CCAL AGORA","2 RUE FRERES MONTGOLFIER","38920","CROLLES","0476921938","","","4779Z","41777529300026","3 ‡ 5","NOSTROMO","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"PULSAT FRERY","","14 AVENUE IRENEE LAURENT","42340","VEAUCHE","0477541868","","","4791B","49290747200061","3 ‡ 5","FRERY JEROME","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"EC AGEN","ZAC LAMOTHE MAGNAC","2 ALLEE JOSEPH LACROIX","47550","BOE","0553685570","","","4779Z","79478236700013","10 ‡ 19","NAVINEL LOIC","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"HAPPY CASH ANGERS","","30 RUE BODINIER","49100","ANGERS","0241349278","","","4779Z","79309696700013","3 ‡ 5","SELLIN JEREMY","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"TINKCO SARL","","68 AVENUE ALSACE","59100","ROUBAIX","0320010780","","0320285527","4791B","43222580300043","3 ‡ 5","PERSYN CHRISTOPHE","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"EASY CASH","","ROUTE NATIONALE 42 CENTRE COMMERCIAL AUCHAN","62280","ST MARTIN BOULOGNE","0391181200","","","4779Z","79378481000012","10 ‡ 19","GUELTON ANDRE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"HAPPY CASH CLERMONT FERRAND","","18 Bis RUE ANDRE MOINIER","63000","CLERMONT FERRAND","0473190645","","","4779Z","53092224400013","6 ‡ 9","RIVOAL MIKE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"PEARL DIFFUSION","","6 RUE SCHEER","67600","SELESTAT","0388580202","","0388580207","4791B","38950937300038","50 ‡ 99","RITTER NICOLAS","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"SESAMEPC","","235 AVENUE ALSACE LORRAINE","73000","CHAMBERY","0413416073","","0413416074","4791B","48347028200037","3 ‡ 5","ACHHIBAT MOHAMMED","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"OLOVER","","231 RUE ST HONORE","75001","PARIS","0615236415","","","4791A","85152299500014","3 ‡ 5","OLO LAB","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"FRANCE TONER DISTRIBUTION","","ENS NOUVEAUX LOCAUX LE PETIT PREAUX","80120","ARGOULES","0321904324","","0321904319","4791B","43041507500018","6 ‡ 9","DE FRANCE JEROME","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"HAPPY CASH SARL","","16 RUE NANTES","85300","CHALLANS","0251260577","","","4779Z","51209955700021","3 ‡ 5","Mamouzi MEIHDI","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CASH CONVERTERS CRETEIL","","1 RUE BASSE QUINTE","94000","CRETEIL","0987549449","","","4779Z","84195534700015","3 ‡ 5","HIROUX SAMY","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"INKIA SARL","","5 RUE MARAT","94400","VITRY SUR SEINE","0668498888","","","4791B","44977188000043","3 ‡ 5","BEN KI","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LA FRIPE DU COTEAU","","13 RUE CARNOT","42120","LE COTEAU","0477677803","","","4779Z","49446214600015","3 ‡ 5","VANHAMME RENE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"FRIP'IN SHOP","","10 RUE FELTRE","44000","NANTES","0251829510","","","4779Z","52219291300088","10 ‡ 19","DUPUY JEREMY","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"FRIP'IN SHOP","","52 RUE MAR JOFFRE","44000","NANTES","0228300748","","","4779Z","52219291300013","10 ‡ 19","DUPUY JEREMY","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"EMMAUS DUNKERQUE","","21 RUE VAUBAN","59140","DUNKERQUE","0328254530","","","4779Z","33956741400042","20 ‡ 49","EMMAUS DUNKERQUE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LA FRIPERIE DU SART","","7 BOULEVARD ALBERT 1ER","59491","VILLENEUVE D'ASCQ","0320831039","","","4779Z","81411827900029","6 ‡ 9","FAYEIN DOMITILLE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"L'ATELIER 815","","815 AVENUE JOSEPH FONTANET","73200","ALBERTVILLE","0987501100","","","4779Z","78958160000036","20 ‡ 49","TRI-VALLEES","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"FRIP AND CO","","13 RUE HOPITAL","76000","ROUEN","0235983154","","","4779Z","40315184800021","3 ‡ 5","RENARD PIERRE-MARIE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"VERDENERGIE","","5 AVENUE GEORGES BATAILLE","60330","LE PLESSIS BELLEVILLE","0763630007","","","4791B","80177319300017","3 ‡ 5","THERMADOR GROUPE","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"TEXIPOOL","","RUE OCEAN","44390","NORT SUR ERDRE","0800002015","","","4791B","50293943200014","20 ‡ 49","GROUPE BHD","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LE MONDE DU BAIN","","43 BOULEVARD ANGLETERRE","34500","BEZIERS","0975184650","","","4791B","79409071200090","6 ‡ 9","PETIT DAVID","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LE MONDE DU BAIN","","42 Bis BOULEVARD RICHARD LENOIR","75011","PARIS","0148060397","","","4791B","79409071200041","6 ‡ 9","PETIT DAVID","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"AICA SANITAIRE","","21 QUAI INDUSTRIE","91200","ATHIS MONS","0781030080","","","4791B","82522917200044","6 ‡ 9","SHI JI","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"DOMILIB","BAT B1 LES CYCLADES","63 RUE CANNES","06110","LE CANNET","0493085502","","","4791B","81244497400032","3 ‡ 5","MARECHAL OLIVIER","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LE COCON DE CLEA","","PRES DU CAMPING 340 RIPETTES LES RAVIERS","01190","ST BENIGNE","0385306214","","","4791B","49800213800036","3 ‡ 5","THIBAUT CARINE","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"AIME","","16 BOULEVARD FILLES DU CALVAIRE","75011","PARIS","0642345631","","","4791B","84095801100040","3 ‡ 5","HOLIMAJ","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LA FERME DE MANON","","1270 ROUTE BOURGOIN","38460","CHOZEAU","0469318010","","","4791B","49873283300047","3 ‡ 5","DEVAUX ALAIN","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"WEERIDE EUROPE SAS","","15 Bis AVENUE VERTONNE","44120","VERTOU","0272883984","","","4791B","53973697500035","6 ‡ 9","MAC 68","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"ETABLISSEMENTS FABRE","","21 RUE DRAPIERS","57070","METZ","0387740765","","","4791B","35580139000038","10 ‡ 19","ETABLISSEMENTS FABRE","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"WILLEMSE SAS WILLEMSE SAS","","6 RUE FORTS","59960","NEUVILLE EN FERRAIN","0892700205","","","4791B","88628027000036","20 ‡ 49","SPRING","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"G & G FLORA GROUP","","418 RUE ETIENNE POULET","69400","VILLEFRANCHE SUR SAONE","0972339725","","","4791B","48994205200023","3 ‡ 5","GUILLEM DAVID","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"SODIMAR JARDIN ET SAISONS","","ZA 13 PARC ACTIVITES DES LATS","69510","MESSIMY","0478454227","","","4791B","52397426900012","6 ‡ 9","NUGUET SOPHIE","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"JARDIPROTEC","","101 RUE SEVRES","75006","PARIS","0184163392","","","4791B","53505009000013","3 ‡ 5","ONEDEV","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"JARDIN DECO","","22 RUE BOIS D'AMOUR","86000","POITIERS","0975171739","","","4791A","75265586000027","20 ‡ 49","Clergeaud GUILLAUME","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"GRAINES BAUMAUX","","2 FERME CHATEAU","88500","MAZIROT","0329430000","","","4791B","33122120000032","20 ‡ 49","BAUMAUX PHILIPPE","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"AGORALUDE","ZA DE LA FOSSETTE","15 RUE VICTOR GRIGNARD","14440","DOUVRES LA DELIVRANDE","0261530779","","0231285799","4791B","49071877200018","3 ‡ 5","GUENON FRANCOIS","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"GHISLAINE ROBIN","","2 AVENUE JEAN MERMOZ","14390","CABOURG","0231919848","","","4779Z","32090261200037","3 ‡ 5","ROBIN GHISLAINE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"TOUT POUR LE JEU","ZA DE LA GARE","4 RUE ARTISANS","25300","ARCON","0339250050","","","4791A","75248004600032","6 ‡ 9","LE DOVERNIER","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"JEUJOUETHIQUE","","16 ROUTE KEROURVOIS","29500","ERGUE GABERIC","0298947737","","","4791A","49926960300035","3 ‡ 5","ROUAT VINCENT","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"JEUJOUETCOM","JEUJOUET COM","24 RUE EDOUARD BRANLY","49800","TRELAZE","0253971153","","","4791B","51031438800032","3 ‡ 5","LEVEL UP PARTNERS","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LITTLE BOLIDE","","17 RUE PANHARD LEVASSOR","78570","CHANTELOUP LES VIGNES","0890710721","","","4791B","47855007200035","3 ‡ 5","KERR SUZI","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LUDIFOLIE","","73 RUE FONTENAY","94300","VINCENNES","0950108010","","","4791B","79398709000016","6 ‡ 9","SUBLET ERIC","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"MAKTABATOUNA","","2 IMPASSE CHARLES VILDRAC","94000","CRETEIL","0651625500","","","4791B","53838820800026","3 ‡ 5","BEN ABDALLAH RAMZI","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"HOP'TOYS","","6 RUE ROBERT KOCH","34080","MONTPELLIER","0467138110","","0467138114","4791B","42263810600043","20 ‡ 49","TORRES BRYON","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"FRIENDS AMIS EXPLOITATION","","RUE FOSSE SEGUIER","95450","COMMENY","0134674503","","","4779Z","81954511200024","3 ‡ 5","DA SILVA DOMINGUES VICTOR","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"DISTRI PRESS","","11 Bis RUE FORLEN","67118","GEISPOLSHEIM","0388663234","","0388668642","4791B","32863070200020","3 ‡ 5","Gutenberg Gesellschaft mit beschr√§nkter Haftung Verlag, Buc","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LABORATOIRE CELS","","4 RUE DU CHATEAU D'EAU LA BONNE DAME","45230","STE GENEVIEVE DES BOIS","0781051343","","","4791B","38030784300108","20 ‡ 49","LABORATOIRE CEVRAI F.C.V.","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LABORATOIRE ILAPHARM","","27 RUE SOLFERINO","92100","BOULOGNE BILLANCOURT","0149091111","","","4791B","38462087800049","3 ‡ 5","JUBIN FLORENCE","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"AFMA ASSOC POUR LA FORM AUX MUSIQUES ACTUELLES","","3 RUE GAULTIER DE BIAUZAT","63000","CLERMONT FERRAND","0664260119","","","4779Z","38816136600066","3 ‡ 5","GAUCHET GERARD","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"MOT A MOT","","750 BOULEVARD CHARLES CROS","14123","IFS","0231299017","","","4791B","34454752600022","3 ‡ 5","DACIANE","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"NICOLAS FESQUET","","192 AVENUE DOCT SCHINAZI","33300","BORDEAUX","0533510953","","","4791B","79493089100021","20 ‡ 49","FESQUET NICOLAS","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LIREKA","","115 RUE ALLIES","38100","GRENOBLE","0476388298","","","4791B","85098232300022","10 ‡ 19","BORDIER MARC","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"RECYCLIVRE","","57 RUE HAIE PLOUVIER","59810","LESQUIN","0366726101","","","4791B","50861046600122","20 ‡ 49","LORRAIN DAVID","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"ALL LIVRES","","44 RUE JACQUES DURMEYER","61100","FLERS","0233378068","","","4791B","79934854500010","10 ‡ 19","FONDATION NORMANDIE GENERATIONS","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"ARENTHON","","3 QUAI MALAQUAIS","75006","PARIS","0143268606","","","4779Z","35052809700024","6 ‡ 9","QUEDILLART","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"COMPTOIRS SPIRITUELS","","8 RUE POULET","75018","PARIS","0183644775","","0153413423","4779Z","38992129700021","3 ‡ 5","PLEUX MICHEL","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CYBELE","","65 Bis RUE GALANDE","75005","PARIS","0143541626","","0146339684","4779Z","34747487600013","3 ‡ 5","Montesino JEAN-PIERRE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"DIFFUSION ROSICRUCIENNE","","199 Bis RUE ST MARTIN","75003","PARIS","0144543850","","","4791B","35077658900011","20 ‡ 49","Benezech MONIQUE","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LIBRAIRIE CLAVREUIL","","19 RUE TOURNON","75006","PARIS","0143269769","","","4779Z","58200497400017","3 ‡ 5","Clavreuil STEPHANE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"OXFAM FRANCE AGIR ICI","BAT 8","8 RUE ST AMBROISE","75011","PARIS","0143559406","","","4779Z","34988915400051","50 ‡ 99","OXFAM FRANCE AGIR ICI","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"PAUL BOULINIER DU QUATIER LATIN SAS","","22 RUE ARCUEIL","75014","PARIS","0145809842","","","4779Z","55204872000064","20 ‡ 49","SAS LAHOLDING","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"RECYCLIVRE","","7 RUE BOULE ROUGE","75009","PARIS","0183621221","","","4791B","50861046600031","20 ‡ 49","LORRAIN DAVID","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LIBRAIRIE ECOSPHERE","","25 RUE ALFRED NOBEL","77420","CHAMPS SUR MARNE","0164739353","","","4791B","40224731600035","6 ‡ 9","DELTAH MLV","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"GIBERT JOSEPH","","87 RUE BERTHIE ALBRECHT","94400","VITRY SUR SEINE","0144418888","","","4791B","53994966900011","3 ‡ 5","FINANCIERE PALIDIS","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LE PERE PENARD","","2 QUAI FULCHIRON","69005","LYON","0478383246","","","4779Z","39933296400010","3 ‡ 5","RIVAT NICOLAS","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LIBRAIRIE BAL","","8 PLACE PORTE REINE","73000","CHAMBERY","0479750576","","","4779Z","52348690000013","3 ‡ 5","BAL BLANDINE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"BONNEFOI LIVRES ANCIENS","","3 RUE MEDICIS","75006","PARIS","0146335722","","0143540543","4779Z","43431828300018","3 ‡ 5","BONNEFOI HENRI","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"DIDIER MARTINEZ","","6 Bis RUE CHATEAUDUN","75009","PARIS","0142814116","","","4779Z","79422894000019","6 ‡ 9","Dumas ANNE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"JEAN BAPTISTE DE PROYART EXPERT","","21 RUE FRESNEL","75116","PARIS","0189336119","","0147235865","4779Z","47897232600019","3 ‡ 5","DE PROYART DE BAILLESCOURT LAURENT","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
